c1,c2,stim,isPlural
flea,bags,fleabags,1
money,bags,moneybags,1
school,bags,schoolbags,1
white,bait,whitebait,0
crow,bait,crowbait,0
hard,bake,hardbake,0
clam,bake,clambake,0
clam,bakes,clambakes,1
beach,ball,beachball,0
ground,ball,groundball,0
hard,ball,hardball,0
butter,ball,butterball,0
goof,ball,goofball,0
base,ball,baseball,0
basket,ball,basketball,0
racquet,ball,racquetball,0
stick,ball,stickball,0
hand,ball,handball,0
eye,ball,eyeball,0
pin,ball,pinball,0
hair,ball,hairball,0
earth,ball,earthball,0
knuckle,ball,knuckleball,0
moth,ball,mothball,0
fire,ball,fireball,0
spit,ball,spitball,0
grease,ball,greaseball,0
fast,ball,fastball,0
foot,ball,football,0
sour,ball,sourball,0
net,ball,netball,0
odd,ball,oddball,0
punch,ball,punchball,0
volley,ball,volleyball,0
puff,ball,puffball,0
tether,ball,tetherball,0
brandy,ball,brandyball,0
bean,ball,beanball,0
meat,ball,meatball,0
paint,ball,paintball,0
push,ball,pushball,0
cannon,ball,cannonball,0
high,ball,highball,0
screw,ball,screwball,0
blow,ball,blowball,0
track,ball,trackball,0
snow,ball,snowball,0
black,ball,blackball,0
soft,ball,softball,0
basket,balls,basketballs,1
foot,balls,footballs,1
high,balls,highballs,1
base,balls,baseballs,1
butter,balls,butterballs,1
soft,balls,softballs,1
fast,balls,fastballs,1
meat,balls,meatballs,1
screw,balls,screwballs,1
hand,balls,handballs,1
puff,balls,puffballs,1
spit,balls,spitballs,1
cannon,balls,cannonballs,1
odd,balls,oddballs,1
racquet,balls,racquetballs,1
eye,balls,eyeballs,1
fire,balls,fireballs,1
moth,balls,mothballs,1
track,balls,trackballs,1
black,balls,blackballs,1
snow,balls,snowballs,1
hair,balls,hairballs,1
volley,balls,volleyballs,1
bee,balm,beebalm,0
neck,band,neckband,0
nose,band,noseband,0
waist,band,waistband,0
arm,band,armband,0
sweat,band,sweatband,0
head,band,headband,0
back,band,backband,0
belly,band,bellyband,0
train,band,trainband,0
hat,band,hatband,0
rib,band,ribband,0
wave,band,waveband,0
watch,band,watchband,0
wrist,band,wristband,0
watch,bands,watchbands,1
arm,bands,armbands,1
hat,bands,hatbands,1
wrist,bands,wristbands,1
head,bands,headbands,1
sweat,bands,sweatbands,1
waist,bands,waistbands,1
neck,bands,neckbands,1
train,bandsman,trainbandsman,0
sow,bane,sowbane,0
flea,bane,fleabane,0
rats,bane,ratsbane,0
leopard,bane,leopardbane,0
wolf,bane,wolfbane,0
hen,bane,henbane,0
bug,bane,bugbane,0
dog,bane,dogbane,0
wolfs,bane,wolfsbane,0
whiz,bang,whizbang,0
whizz,bang,whizzbang,0
whizz,bangs,whizzbangs,1
fog,bank,fogbank,0
sand,bank,sandbank,0
river,bank,riverbank,0
snow,bank,snowbank,0
sand,banks,sandbanks,1
snow,banks,snowbanks,1
river,banks,riverbanks,1
bus,bar,busbar,0
draw,bar,drawbar,0
