c1,c2,stim,isPlural
air,dock,airdock,0
evil,doer,evildoer,0
wrong,doer,wrongdoer,0
evil,doers,evildoers,1
wrong,doers,wrongdoers,1
watch,dog,watchdog,0
sheep,dog,sheepdog,0
under,dog,underdog,0
house,dog,housedog,0
bull,dog,bulldog,0
coon,dog,coondog,0
hot,dog,hotdog,0
fire,dog,firedog,0
sun,dog,sundog,0
lap,dog,lapdog,0
water,dog,waterdog,0
coy,dog,coydog,0
sheep,dogs,sheepdogs,1
watch,dogs,watchdogs,1
bull,dogs,bulldogs,1
lap,dogs,lapdogs,1
under,dogs,underdogs,1
hot,dogs,hotdogs,1
evil,doing,evildoing,0
wrong,doing,wrongdoing,0
wrong,doings,wrongdoings,1
back,door,backdoor,0
barn,door,barndoor,0
hair,dos,hairdos,1
sour,dough,sourdough,0
sour,doughs,sourdoughs,1
ring,dove,ringdove,0
turtle,dove,turtledove,0
turtle,doves,turtledoves,1
melt,down,meltdown,0
touch,down,touchdown,0
count,down,countdown,0
close,down,closedown,0
turn,down,turndown,0
look,down,lookdown,0
knock,down,knockdown,0
crack,down,crackdown,0
take,down,takedown,0
clamp,down,clampdown,0
stand,down,standdown,0
rub,down,rubdown,0
shut,down,shutdown,0
let,down,letdown,0
spell,down,spelldown,0
slow,down,slowdown,0
show,down,showdown,0
break,down,breakdown,0
run,down,rundown,0
come,down,comedown,0
back,down,backdown,0
splash,down,splashdown,0
lock,down,lockdown,0
eider,down,eiderdown,0
sun,down,sundown,0
shake,down,shakedown,0
thistle,down,thistledown,0
sun,downer,sundowner,0
come,downs,comedowns,1
let,downs,letdowns,1
count,downs,countdowns,1
eider,downs,eiderdowns,1
splash,downs,splashdowns,1
crack,downs,crackdowns,1
spell,downs,spelldowns,1
rub,downs,rubdowns,1
shake,downs,shakedowns,1
break,downs,breakdowns,1
melt,downs,meltdowns,1
clamp,downs,clampdowns,1
run,downs,rundowns,1
slow,downs,slowdowns,1
sun,downs,sundowns,1
touch,downs,touchdowns,1
bull,dozer,bulldozer,0
angle,dozer,angledozer,0
over,draft,overdraft,0
down,draft,downdraft,0
over,drafts,overdrafts,1
down,drafts,downdrafts,1
snap,dragon,snapdragon,0
pen,dragon,pendragon,0
snap,dragons,snapdragons,1
fire,drake,firedrake,0
man,drakes,mandrakes,1
linen,draper,linendraper,0
with,drawer,withdrawer,0
under,drawers,underdrawers,1
day,dream,daydream,0
day,dreamer,daydreamer,0
day,dreamers,daydreamers,1
day,dreaming,daydreaming,0
day,dreams,daydreams,1
sun,dress,sundress,0
night,dress,nightdress,0
shirt,dress,shirtdress,0
coat,dress,coatdress,0
head,dress,headdress,0
ball,dress,balldress,0
hair,dresser,hairdresser,0
hair,dressers,hairdressers,1
night,dresses,nightdresses,1
head,dresses,headdresses,1
hair,dressing,hairdressing,0
snow,drift,snowdrift,0
spoon,drift,spoondrift,0
spin,drift,spindrift,0
snow,drifts,snowdrifts,1
man,drill,mandrill,0
man,drills,mandrills,1
over,drive,overdrive,0
cab,driver,cabdriver,0
taxi,driver,taxidriver,0
screw,driver,screwdriver,0
cab,drivers,cabdrivers,1
screw,drivers,screwdrivers,1
over,drives,overdrives,1
air,drome,airdrome,0
back,drop,backdrop,0
dew,drop,dewdrop,0
gum,drop,gumdrop,0
snow,drop,snowdrop,0
rain,drop,raindrop,0
eye,drop,eyedrop,0
air,drop,airdrop,0
tear,drop,teardrop,0
ear,drop,eardrop,0
mail,drop,maildrop,0
eaves,dropper,eavesdropper,0
eaves,droppers,eavesdroppers,1
gum,drops,gumdrops,1
snow,drops,snowdrops,1
back,drops,backdrops,1
tear,drops,teardrops,1
air,drops,airdrops,1
dew,drops,dewdrops,1
sun,drops,sundrops,1
rain,drops,raindrops,1
ear,drum,eardrum,0
kettle,drum,kettledrum,0
ear,drums,eardrums,1
kettle,drums,kettledrums,1
via,duct,viaduct,0
via,ducts,viaducts,1
saw,dust,sawdust,0
star,dust,stardust,0
saw,dusts,sawdusts,1
wheat,ear,wheatear,0
hearts,ease,heartsease,0
north,east,northeast,0
south,east,southeast,0
south,easter,southeaster,0
north,easter,northeaster,0
speak,easy,speakeasy,0
loves,eat,loveseat,0
backs,eat,backseat,0
fig,eater,figeater,0
beef,eater,beefeater,0
ant,eater,anteater,0
ant,eaters,anteaters,1
over,eating,overeating,0
backs,eats,backseats,1
feather,edge,featheredge,0
straight,edge,straightedge,0
straight,edges,straightedges,1
after,effect,aftereffect,0
after,effects,aftereffects,1
super,ego,superego,0
super,egos,superegos,1
rang,eland,rangeland,0
wast,eland,wasteland,0
dams,elfish,damselfish,0
barb,ell,barbell,0
barb,ells,barbells,1
over,emphasis,overemphasis,0
book,end,bookend,0
gods,end,godsend,0
week,end,weekend,0
week,ends,weekends,1
gods,ends,godsends,1
book,ends,bookends,1
handmaid,ens,handmaidens,1
quint,essences,quintessences,1
over,estimate,overestimate,0
under,estimate,underestimate,0
over,estimates,overestimates,1
under,estimates,underestimates,1
over,estimation,overestimation,0
under,estimation,underestimation,0
under,evaluation,underevaluation,0
dared,evil,daredevil,0
dared,evils,daredevils,1
counter,examples,counterexamples,1
over,exertion,overexertion,0
under,exposure,underexposure,0
over,exposure,overexposure,0
under,exposures,underexposures,1
rabbit,eye,rabbiteye,0
dead,eye,deadeye,0
green,eye,greeneye,0
golden,eye,goldeneye,0
wall,eye,walleye,0
shut,eye,shuteye,0
red,eye,redeye,0
buck,eye,buckeye,0
moon,eye,mooneye,0
pink,eye,pinkeye,0
big,eye,bigeye,0
buck,eyes,buckeyes,1
black,face,blackface,0
coal,face,coalface,0
white,face,whiteface,0
pale,face,paleface,0
bold,face,boldface,0
type,face,typeface,0
stone,face,stoneface,0
type,faces,typefaces,1
pale,faces,palefaces,1
coal,faces,coalfaces,1
book,fair,bookfair,0
fun,fair,funfair,0
fun,fairs,funfairs,1
night,fall,nightfall,0
water,fall,waterfall,0
pit,fall,pitfall,0
short,fall,shortfall,0
snow,fall,snowfall,0
rain,fall,rainfall,0
ice,fall,icefall,0
foot,fall,footfall,0
wind,fall,windfall,0
even,fall,evenfall,0
land,fall,landfall,0
down,fall,downfall,0
prat,fall,pratfall,0
land,falls,landfalls,1
short,falls,shortfalls,1
rain,falls,rainfalls,1
pit,falls,pitfalls,1
prat,falls,pratfalls,1
foot,falls,footfalls,1
wind,falls,windfalls,1
down,falls,downfalls,1
snow,falls,snowfalls,1
water,falls,waterfalls,1
war,fare,warfare,0
field,fare,fieldfare,0
car,fare,carfare,0
air,fare,airfare,0
air,fares,airfares,1
sea,faring,seafaring,0
way,faring,wayfaring,0
space,faring,spacefaring,0
break,fast,breakfast,0
head,fast,headfast,0
hold,fast,holdfast,0
break,fasts,breakfasts,1
butter,fat,butterfat,0
god,father,godfather,0
grand,father,grandfather,0
house,father,housefather,0
grand,fathers,grandfathers,1
god,fathers,godfathers,1
foot,fault,footfault,0
bean,feast,beanfeast,0
bean,feasts,beanfeasts,1
gay,feather,gayfeather,0
chicken,feed,chickenfeed,0
bird,feeder,birdfeeder,0
spoon,feeding,spoonfeeding,0
over,feeding,overfeeding,0
club,feet,clubfeet,0
web,feet,webfeet,1
splay,feet,splayfeet,1
crow,feet,crowfeet,0
work,fellow,workfellow,0
bed,fellow,bedfellow,0
play,fellow,playfellow,0
school,fellow,schoolfellow,0
school,fellows,schoolfellows,1
bed,fellows,bedfellows,1
play,fellows,playfellows,1
under,felt,underfelt,0
lip,fern,lipfern,0
wood,fern,woodfern,0
gab,fest,gabfest,0
slug,fest,slugfest,0
gab,fests,gabfests,1
grain,field,grainfield,0
hay,field,hayfield,0
coal,field,coalfield,0
out,field,outfield,0
right,field,rightfield,0
gold,field,goldfield,0
corn,field,cornfield,0
brick,field,brickfield,0
snow,field,snowfield,0
left,field,leftfield,0
mid,field,midfield,0
back,field,backfield,0
gas,field,gasfield,0
center,field,centerfield,0
oil,field,oilfield,0
mine,field,minefield,0
air,field,airfield,0
wheat,field,wheatfield,0
battle,field,battlefield,0
center,fielder,centerfielder,0
back,fields,backfields,1
coal,fields,coalfields,1
battle,fields,battlefields,1
corn,fields,cornfields,1
air,fields,airfields,1
snow,fields,snowfields,1
gold,fields,goldfields,1
oil,fields,oilfields,1
mine,fields,minefields,1
cock,fight,cockfight,0
dog,fight,dogfight,0
gun,fight,gunfight,0
bun,fight,bunfight,0
fist,fight,fistfight,0
bull,fight,bullfight,0
prize,fight,prizefight,0
fire,fighter,firefighter,0
bull,fighter,bullfighter,0
dog,fighter,dogfighter,0
prize,fighter,prizefighter,0
bull,fighters,bullfighters,1
prize,fighters,prizefighters,1
fire,fighters,firefighters,1
cock,fighting,cockfighting,0
bull,fighting,bullfighting,0
cock,fights,cockfights,1
prize,fights,prizefights,1
gun,fights,gunfights,1
bull,fights,bullfights,1
fist,fights,fistfights,1
dog,fights,dogfights,1
nail,file,nailfile,0
land,fill,landfill,0
land,fills,landfills,1
cling,film,clingfilm,0
thread,fin,threadfin,0
lobe,fin,lobefin,0
bow,fin,bowfin,0
blue,fin,bluefin,0
yellow,fin,yellowfin,0
soup,fin,soupfin,0
tail,fin,tailfin,0
quarter,final,quarterfinal,0
quarter,finals,quarterfinals,1
gold,finch,goldfinch,0
haw,finch,hawfinch,0
bull,finch,bullfinch,0
grass,finch,grassfinch,0
bull,finches,bullfinches,1
gold,finches,goldfinches,1
word,finder,wordfinder,0
water,finder,waterfinder,0
range,finder,rangefinder,0
view,finder,viewfinder,0
fault,finder,faultfinder,0
path,finder,pathfinder,0
path,finders,pathfinders,1
range,finders,rangefinders,1
fault,finders,faultfinders,1
view,finders,viewfinders,1
fault,finding,faultfinding,0
lady,finger,ladyfinger,0
lady,fingers,ladyfingers,1
butter,fingers,butterfingers,1
cross,fire,crossfire,0
hell,fire,hellfire,0
spit,fire,spitfire,0
camp,fire,campfire,0
wild,fire,wildfire,0
bale,fire,balefire,0
cook,fire,cookfire,0
back,fire,backfire,0
drum,fire,drumfire,0
gun,fire,gunfire,0
shell,fire,shellfire,0
grass,fire,grassfire,0
cross,fires,crossfires,1
back,fires,backfires,1
wild,fires,wildfires,1
camp,fires,campfires,1
spit,fires,spitfires,1
hog,fish,hogfish,0
bill,fish,billfish,0
angler,fish,anglerfish,0
sail,fish,sailfish,0
sun,fish,sunfish,0
archer,fish,archerfish,0
black,fish,blackfish,0
lion,fish,lionfish,0
queen,fish,queenfish,0
lantern,fish,lanternfish,0
cardinal,fish,cardinalfish,0
saw,fish,sawfish,0
snipe,fish,snipefish,0
tongue,fish,tonguefish,0
numb,fish,numbfish,0
may,fish,mayfish,0
amber,fish,amberfish,0
balloon,fish,balloonfish,0
devil,fish,devilfish,0
spear,fish,spearfish,0
surf,fish,surffish,0
cutlass,fish,cutlassfish,0
weak,fish,weakfish,0
head,fish,headfish,0
hag,fish,hagfish,0
flame,fish,flamefish,0
cat,fish,catfish,0
soldier,fish,soldierfish,0
damsel,fish,damselfish,0
pipe,fish,pipefish,0
sucker,fish,suckerfish,0
stock,fish,stockfish,0
soap,fish,soapfish,0
globe,fish,globefish,0
dog,fish,dogfish,0
ground,fish,groundfish,0
leather,fish,leatherfish,0
oil,fish,oilfish,0
drift,fish,driftfish,0
butterfly,fish,butterflyfish,0
star,fish,starfish,0
cramp,fish,crampfish,0
flag,fish,flagfish,0
barrel,fish,barrelfish,0
lancet,fish,lancetfish,0
doctor,fish,doctorfish,0
craw,fish,crawfish,0
pilot,fish,pilotfish,0
harvest,fish,harvestfish,0
conch,fish,conchfish,0
stone,fish,stonefish,0
cling,fish,clingfish,0
guitar,fish,guitarfish,0
shrimp,fish,shrimpfish,0
cow,fish,cowfish,0
dolphin,fish,dolphinfish,0
lady,fish,ladyfish,0
alligator,fish,alligatorfish,0
squirrel,fish,squirrelfish,0
gold,fish,goldfish,0
parrot,fish,parrotfish,0
ghost,fish,ghostfish,0
porcupine,fish,porcupinefish,0
dollar,fish,dollarfish,0
trunk,fish,trunkfish,0
frog,fish,frogfish,0
king,fish,kingfish,0
lung,fish,lungfish,0
goose,fish,goosefish,0
sword,fish,swordfish,0
pig,fish,pigfish,0
scorpion,fish,scorpionfish,0
needle,fish,needlefish,0
oar,fish,oarfish,0
bat,fish,batfish,0
pin,fish,pinfish,0
rock,fish,rockfish,0
boar,fish,boarfish,0
burr,fish,burrfish,0
flat,fish,flatfish,0
cuttle,fish,cuttlefish,0
tile,fish,tilefish,0
surgeon,fish,surgeonfish,0
blow,fish,blowfish,0
skillet,fish,skilletfish,0
white,fish,whitefish,0
file,fish,filefish,0
shell,fish,shellfish,0
jelly,fish,jellyfish,0
mosquito,fish,mosquitofish,0
monk,fish,monkfish,0
puffer,fish,pufferfish,0
moon,fish,moonfish,0
rudder,fish,rudderfish,0
toad,fish,toadfish,0
gar,fish,garfish,0
rabbit,fish,rabbitfish,0
jaw,fish,jawfish,0
sand,fish,sandfish,0
paddle,fish,paddlefish,0
buffalo,fish,buffalofish,0
ribbon,fish,ribbonfish,0
mutton,fish,muttonfish,0
red,fish,redfish,0
thread,fish,threadfish,0
angel,fish,angelfish,0
wolf,fish,wolffish,0
pearl,fish,pearlfish,0
box,fish,boxfish,0
spade,fish,spadefish,0
horse,fish,horsefish,0
wreck,fish,wreckfish,0
snake,fish,snakefish,0
silver,fish,silverfish,0
cigar,fish,cigarfish,0
butter,fish,butterfish,0
pork,fish,porkfish,0
trumpet,fish,trumpetfish,0
rose,fish,rosefish,0
trigger,fish,triggerfish,0
snail,fish,snailfish,0
drum,fish,drumfish,0
cornet,fish,cornetfish,0
goat,fish,goatfish,0
lizard,fish,lizardfish,0
lump,fish,lumpfish,0
convict,fish,convictfish,0
cod,fish,codfish,0
blue,fish,bluefish,0
deal,fish,dealfish,0
oyster,fish,oysterfish,0
bone,fish,bonefish,0
pan,fish,panfish,0
king,fisher,kingfisher,0
king,fishers,kingfishers,1
blue,fishes,bluefishes,1
dog,fishes,dogfishes,1
lung,fishes,lungfishes,1
sport,fishing,sportfishing,0
out,fitter,outfitter,0
steam,fitter,steamfitter,0
steam,fitters,steamfitters,1
pipe,fitting,pipefitting,0
wheat,flake,wheatflake,0
snow,flake,snowflake,0
snow,flakes,snowflakes,1
ear,flap,earflap,0
news,flash,newsflash,0
news,flashes,newsflashes,1
hip,flask,hipflask,0
toad,flax,toadflax,0
goose,flesh,gooseflesh,0
horse,flesh,horseflesh,0
high,flier,highflier,0
may,flies,mayflies,1
green,flies,greenflies,1
butter,flies,butterflies,1
gad,flies,gadflies,1
house,flies,houseflies,1
horse,flies,horseflies,1
damsel,flies,damselflies,1
fire,flies,fireflies,1
blow,flies,blowflies,1
dragon,flies,dragonflies,1
saw,flies,sawflies,1
over,flight,overflight,0
space,flight,spaceflight,0
space,flights,spaceflights,1
over,flights,overflights,1
skin,flint,skinflint,0
gun,flint,gunflint,0
skin,flints,skinflints,1
bob,float,bobfloat,0
flash,flood,flashflood,0
candy,floss,candyfloss,0
corn,flour,cornflour,0
air,flow,airflow,0
back,flow,backflow,0
over,flow,overflow,0
work,flow,workflow,0
flame,flower,flameflower,0
spoon,flower,spoonflower,0
mist,flower,mistflower,0
cuckoo,flower,cuckooflower,0
bell,flower,bellflower,0
swan,flower,swanflower,0
corn,flower,cornflower,0
may,flower,mayflower,0
lyre,flower,lyreflower,0
wall,flower,wallflower,0
shad,flower,shadflower,0
globe,flower,globeflower,0
shell,flower,shellflower,0
snail,flower,snailflower,0
cheese,flower,cheeseflower,0
helmet,flower,helmetflower,0
day,flower,dayflower,0
spider,flower,spiderflower,0
butter,flower,butterflower,0
sun,flower,sunflower,0
wild,flower,wildflower,0
moon,flower,moonflower,0
wind,flower,windflower,0
tongue,flower,tongueflower,0
foam,flower,foamflower,0
honey,flower,honeyflower,0
wax,flower,waxflower,0
finger,flower,fingerflower,0
cone,flower,coneflower,0
twin,flower,twinflower,0
cup,flower,cupflower,0
wand,flower,wandflower,0
star,flower,starflower,0
tail,flower,tailflower,0
chigger,flower,chiggerflower,0
passion,flower,passionflower,0
straw,flower,strawflower,0
wind,flowers,windflowers,1
wild,flowers,wildflowers,1
passion,flowers,passionflowers,1
sun,flowers,sunflowers,1
corn,flowers,cornflowers,1
wall,flowers,wallflowers,1
may,flowers,mayflowers,1
back,flowing,backflowing,0
over,flows,overflows,1
white,fly,whitefly,0
day,fly,dayfly,0
house,fly,housefly,0
black,fly,blackfly,0
blow,fly,blowfly,0
butter,fly,butterfly,0
dobson,fly,dobsonfly,0
fire,fly,firefly,0
stone,fly,stonefly,0
sponge,fly,spongefly,0
gad,fly,gadfly,0
saw,fly,sawfly,0
catch,fly,catchfly,0
bot,fly,botfly,0
chalcid,fly,chalcidfly,0
green,fly,greenfly,0
shad,fly,shadfly,0
rain,fly,rainfly,0
may,fly,mayfly,0
sand,fly,sandfly,0
damsel,fly,damselfly,0
dragon,fly,dragonfly,0
snake,fly,snakefly,0
horse,fly,horsefly,0
alder,fly,alderfly,0
shoo,fly,shoofly,0
gall,fly,gallfly,0
high,flyer,highflyer,0
feather,foil,featherfoil,0
rock,foil,rockfoil,0
air,foil,airfoil,0
tin,foil,tinfoil,0
air,foils,airfoils,1
bill,fold,billfold,0
sheep,fold,sheepfold,0
pin,fold,pinfold,0
center,fold,centerfold,0
centre,fold,centrefold,0
blind,fold,blindfold,0
gate,fold,gatefold,0
sheep,folds,sheepfolds,1
bill,folds,billfolds,1
blind,folds,blindfolds,1
center,folds,centerfolds,1
kin,folk,kinfolk,0
country,folk,countryfolk,0
towns,folk,townsfolk,0
home,folk,homefolk,0
kins,folk,kinsfolk,0
gentle,folk,gentlefolk,0
gentle,folks,gentlefolks,1
kin,folks,kinfolks,1
sea,food,seafood,0
pet,food,petfood,0
tom,fool,tomfool,0
cocks,foot,cocksfoot,0
claw,foot,clawfoot,0
crow,foot,crowfoot,0
hind,foot,hindfoot,0
hot,foot,hotfoot,0
colts,foot,coltsfoot,0
flat,foot,flatfoot,0
goats,foot,goatsfoot,0
club,foot,clubfoot,0
tender,foot,tenderfoot,0
splay,foot,splayfoot,0
spade,foot,spadefoot,0
web,foot,webfoot,0
goose,foot,goosefoot,0
tender,foots,tenderfoots,1
hot,foots,hotfoots,1
air,force,airforce,0
work,force,workforce,0
work,forces,workforces,1
where,fore,wherefore,0
rain,forest,rainforest,0
hay,fork,hayfork,0
table,fork,tablefork,0
pitch,fork,pitchfork,0
pitch,forks,pitchforks,1
wave,form,waveform,0
plat,forms,platforms,1
wave,forms,waveforms,1
piano,forte,pianoforte,0
piano,fortes,pianofortes,1
wild,fowl,wildfowl,0
moor,fowl,moorfowl,0
heath,fowl,heathfowl,0
sea,fowl,seafowl,0
pea,fowl,peafowl,0
water,fowl,waterfowl,0
pea,fowls,peafowls,1
bed,frame,bedframe,0
under,frame,underframe,0
main,frame,mainframe,0
door,frame,doorframe,0
air,frame,airframe,0
main,frames,mainframes,1
air,frames,airframes,1
girl,friend,girlfriend,0
boy,friend,boyfriend,0
school,friend,schoolfriend,0
boy,friends,boyfriends,1
girl,friends,girlfriends,1
bull,frog,bullfrog,0
leap,frog,leapfrog,0
leap,frogs,leapfrogs,1
bull,frogs,bullfrogs,1
ocean,front,oceanfront,0
water,front,waterfront,0
lake,front,lakefront,0
beach,front,beachfront,0
wave,front,wavefront,0
battle,front,battlefront,0
shirt,front,shirtfront,0
sea,front,seafront,0
store,front,storefront,0
shop,front,shopfront,0
ocean,fronts,oceanfronts,1
sea,fronts,seafronts,1
shirt,fronts,shirtfronts,1
store,fronts,storefronts,1
shop,fronts,shopfronts,1
battle,fronts,battlefronts,1
water,fronts,waterfronts,1
lake,fronts,lakefronts,1
hoar,frost,hoarfrost,0
bread,fruit,breadfruit,0
egg,fruit,eggfruit,0
grape,fruit,grapefruit,0
jack,fruit,jackfruit,0
bread,fruits,breadfruits,1
grape,fruits,grapefruits,1
mother,fucker,motherfucker,0
hedge,fund,hedgefund,0
under,fur,underfur,0
green,gage,greengage,0
top,gallant,topgallant,0
moor,game,moorgame,0
ball,game,ballgame,0
end,game,endgame,0
ball,games,ballgames,1
back,gammon,backgammon,0
stop,gap,stopgap,0
stop,gaps,stopgaps,1
under,garment,undergarment,0
over,garment,overgarment,0
under,garments,undergarments,1
tear,gas,teargas,0
tear,gases,teargases,1
tail,gate,tailgate,0
sluice,gate,sluicegate,0
flood,gate,floodgate,0
toll,gate,tollgate,0
tail,gates,tailgates,1
toll,gates,tollgates,1
flood,gates,floodgates,1
toll,gatherer,tollgatherer,0
wool,gatherer,woolgatherer,0
wool,gathering,woolgathering,0
nose,gay,nosegay,0
nose,gays,nosegays,1
star,gazer,stargazer,0
star,gazers,stargazers,1
star,gazing,stargazing,0
foot,gear,footgear,0
head,gear,headgear,0
fish,gig,fishgig,0
blue,gill,bluegill,0
blue,gills,bluegills,1
cow,girl,cowgirl,0
show,girl,showgirl,0
home,girl,homegirl,0
sales,girl,salesgirl,0
day,girl,daygirl,0
school,girl,schoolgirl,0
cow,girls,cowgirls,1
sales,girls,salesgirls,1
school,girls,schoolgirls,1
show,girls,showgirls,1
alms,giver,almsgiver,0
law,giver,lawgiver,0
care,giver,caregiver,0
law,givers,lawgivers,1
care,givers,caregivers,1
alms,giving,almsgiving,0
thanks,giving,thanksgiving,0
thanks,givings,thanksgivings,1
sand,glass,sandglass,0
sun,glass,sunglass,0
hour,glass,hourglass,0
spy,glass,spyglass,0
fibre,glass,fibreglass,0
eye,glass,eyeglass,0
fiber,glass,fiberglass,0
weather,glass,weatherglass,0
wine,glass,wineglass,0
spy,glasses,spyglasses,1
eye,glasses,eyeglasses,1
sun,glasses,sunglasses,1
hour,glasses,hourglasses,1
wine,glasses,wineglasses,1
para,gliding,paragliding,0
vain,glory,vainglory,0
fox,glove,foxglove,0
fox,gloves,foxgloves,1
after,glow,afterglow,0
after,glows,afterglows,1
scape,goat,scapegoat,0
scape,goats,scapegoats,1
hob,goblin,hobgoblin,0
church,goer,churchgoer,0
play,goer,playgoer,0
theatre,goer,theatregoer,0
theater,goer,theatergoer,0
opera,goer,operagoer,0
party,goer,partygoer,0
movie,goer,moviegoer,0
chapel,goer,chapelgoer,0
theater,goers,theatergoers,1
church,goers,churchgoers,1
movie,goers,moviegoers,1
opera,goers,operagoers,1
play,goers,playgoers,1
scatter,good,scattergood,0
dry,goods,drygoods,1
night,gown,nightgown,0
night,gowns,nightgowns,1
scape,grace,scapegrace,0
scape,graces,scapegraces,1
under,grad,undergrad,0
pay,grade,paygrade,0
down,grade,downgrade,0
down,grades,downgrades,1
under,grads,undergrads,1
under,graduate,undergraduate,0
under,graduates,undergraduates,1
wood,grain,woodgrain,0
wood,graining,woodgraining,0
cable,grams,cablegrams,1
holly,grape,hollygrape,0
radiophoto,graph,radiophotograph,0
view,graph,viewgraph,0
shadow,graph,shadowgraph,0
cheat,grass,cheatgrass,0
yard,grass,yardgrass,0
rice,grass,ricegrass,0
cord,grass,cordgrass,0
crab,grass,crabgrass,0
sea,grass,seagrass,0
brome,grass,bromegrass,0
bristle,grass,bristlegrass,0
quack,grass,quackgrass,0
bunch,grass,bunchgrass,0
rye,grass,ryegrass,0
witch,grass,witchgrass,0
silk,grass,silkgrass,0
blue,grass,bluegrass,0
knot,grass,knotgrass,0
meadow,grass,meadowgrass,0
eel,grass,eelgrass,0
tall,grass,tallgrass,0
lemon,grass,lemongrass,0
bur,grass,burgrass,1
nut,grass,nutgrass,0
rib,grass,ribgrass,0
mid,grass,midgrass,0
short,grass,shortgrass,0
wheat,grass,wheatgrass,0
land,grave,landgrave,0
ever,green,evergreen,0
winter,green,wintergreen,0
ever,greens,evergreens,1
hair,grip,hairgrip,0
hand,grip,handgrip,0
green,grocer,greengrocer,0
green,grocers,greengrocers,1
green,grocery,greengrocery,0
bride,groom,bridegroom,0
bride,grooms,bridegrooms,1
play,ground,playground,0
bed,ground,bedground,0
camp,ground,campground,0
fore,ground,foreground,0
under,ground,underground,0
fair,ground,fairground,0
back,ground,background,0
battle,ground,battleground,0
back,grounder,backgrounder,0
back,grounders,backgrounders,1
back,grounding,backgrounding,0
battle,grounds,battlegrounds,1
camp,grounds,campgrounds,1
under,grounds,undergrounds,1
back,grounds,backgrounds,1
play,grounds,playgrounds,1
fair,grounds,fairgrounds,1
sand,grouse,sandgrouse,0
man,groves,mangroves,1
under,growth,undergrowth,0
over,growth,overgrowth,0
money,grubber,moneygrubber,0
coast,guard,coastguard,0
black,guard,blackguard,0
body,guard,bodyguard,0
fire,guard,fireguard,0
arm,guard,armguard,0
rear,guard,rearguard,0
safe,guard,safeguard,0
van,guard,vanguard,0
life,guard,lifeguard,0
mud,guard,mudguard,0
fire,guards,fireguards,1
safe,guards,safeguards,1
rear,guards,rearguards,1
body,guards,bodyguards,1
mud,guards,mudguards,1
life,guards,lifeguards,1
black,guards,blackguards,1
coast,guards,coastguards,1
coast,guardsman,coastguardsman,0
house,guest,houseguest,0
wave,guide,waveguide,0
wave,guides,waveguides,1
blood,guilt,bloodguilt,0
sea,gull,seagull,0
sea,gulls,seagulls,1
flash,gun,flashgun,0
shot,gun,shotgun,0
blow,gun,blowgun,0
scatter,gun,scattergun,0
air,gun,airgun,0
hand,gun,handgun,0
pop,gun,popgun,0
staple,gun,staplegun,0
flash,guns,flashguns,1
blow,guns,blowguns,1
pop,guns,popguns,1
hand,guns,handguns,1
shot,guns,shotguns,1
pinch,gut,pinchgut,0
hind,gut,hindgut,0
rot,gut,rotgut,0
cat,gut,catgut,0
nights,hades,nightshades,1
suns,hades,sunshades,1
lamps,hades,lampshades,1
cranks,haft,crankshaft,0
cams,haft,camshaft,0
mines,haft,mineshaft,0
drives,haft,driveshaft,0
cranks,hafts,crankshafts,1
cams,hafts,camshafts,1
horse,hair,horsehair,0
maiden,hair,maidenhair,0
wire,hair,wirehair,0
camel,hair,camelhair,0
wire,hairs,wirehairs,1
cross,hairs,crosshairs,1
eggs,hake,eggshake,0
milks,hake,milkshake,0
heads,hake,headshake,0
hands,hake,handshake,0
guild,hall,guildhall,0
gild,hall,gildhall,0
guild,halls,guildhalls,1
claw,hammer,clawhammer,0
jack,hammer,jackhammer,0
sledge,hammer,sledgehammer,0
yellow,hammer,yellowhammer,0
trip,hammer,triphammer,0
yellow,hammers,yellowhammers,1
jack,hammers,jackhammers,1
sledge,hammers,sledgehammers,1
long,hand,longhand,0
cow,hand,cowhand,0
dock,hand,dockhand,0
field,hand,fieldhand,0
short,hand,shorthand,0
stage,hand,stagehand,0
deck,hand,deckhand,0
farm,hand,farmhand,0
back,hand,backhand,0
door,handle,doorhandle,0
pan,handle,panhandle,0
pan,handler,panhandler,0
pan,handlers,panhandlers,1
door,handles,doorhandles,1
pan,handles,panhandles,1
deck,hands,deckhands,1
cow,hands,cowhands,1
short,hands,shorthands,1
back,hands,backhands,1
farm,hands,farmhands,1
stage,hands,stagehands,1
over,hang,overhang,0
strap,hanger,straphanger,0
cliff,hanger,cliffhanger,0
paper,hanger,paperhanger,0
cliff,hangers,cliffhangers,1
paper,hangers,paperhangers,1
paper,hanging,paperhanging,0
over,hangs,overhangs,1
greens,hank,greenshank,0
hinds,hank,hindshank,0
reds,hank,redshank,0
spindles,hanks,spindleshanks,1
die,hard,diehard,0
blow,hard,blowhard,0
fool,hardiness,foolhardiness,0
ploughs,hare,ploughshare,0
plows,hare,plowshare,0
plows,hares,plowshares,1
cards,harp,cardsharp,0
cards,harper,cardsharper,0
cards,harpers,cardsharpers,1
cards,harps,cardsharps,1
rest,harrow,restharrow,0
sun,hat,sunhat,0
nut,hatch,nuthatch,0
cross,hatch,crosshatch,0
cross,hatches,crosshatches,1
nut,hatches,nuthatches,1
sun,hats,sunhats,1
over,haul,overhaul,0
over,hauls,overhauls,1
draws,have,drawshave,0
spokes,have,spokeshave,0
night,hawk,nighthawk,0
